Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Honda,Civic,Sedan,2016,Gasoline,2.0 L,Automatic,Front Wheel Drive,"105,090 km",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Beige,Textile,No,"$16,200"
Kia,Optima,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"137,100 miles",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Other,No,"$13,500"
Toyota,Alphard,Minivan,2003,Gasoline,2.4 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Black,Textile,No,"$12,200"
Infiniti,FX-Series,SUV / Crossover,2009,Gasoline,3.5 L,Automatic,All Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Gray,R20,LED Headlights,Black,Leather,Regular Sunroof,"$15,000"
Kia,Sportage,SUV / Crossover,2017,Gasoline,2.4 L,Automatic,All Wheel Drive,"68,000 km",Car is damaged,Left,Yes,Brown,R17,Halogen Headlights,Black,Other,No,"$18,800"
Audi,Q3,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,All Wheel Drive,"70,000 km",Car is not damaged,Left,Yes,Silver,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$28,200"
Nissan,Rogue,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"100,000 miles",Car is not damaged,Left,Yes,Silver,R17,Halogen Headlights,Black,Textile,No,"$16,500"
Chrysler,200,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"152,000 km",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Leather,Regular Sunroof,"$13,500"
Mercedes-Benz,C-Class,Sedan,2000,Gasoline,2.4 L,Manual,Rear Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Black,Other,No,"$6,000"
GAZ (ГАЗ),3110 Volga,SUV / Crossover,2000,Gasoline,2.1 L,Manual,Rear Wheel Drive,"323,765 km",Car is not damaged,Left,Yes,White,R15,LED Headlights,Gray,Other,No,"650,000 ֏"
Opel,Vectra,Sedan,1998,Gasoline,1.8 L,Manual,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Gray,R15,Halogen Headlights,Black,Textile,No,"750,000 ֏"
Chevrolet,Aveo,Sedan,2012,Gasoline,1.6 L,Automatic,Front Wheel Drive,"143,000 km",Car is not damaged,Left,Yes,White,R15,Хenon Headlights,Beige,Textile,No,"$5,500"
Mazda,6,Sedan,2003,Gasoline,2.3 L,Automatic,Front Wheel Drive,"170,000 km",Car is not damaged,Right,Yes,White,R18,Хenon Headlights,Beige,Alcantara,No,"$6,900"
Lincoln,Town Car,Limo,1999,Gasoline,4.6 L,Automatic,Rear Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,White,R16,LED Headlights,Black,Leather,No,"$15,000"
Mazda,Atenza,Sedan,2003,Gasoline,2.3 L,Automatic,Front Wheel Drive,"192,000 km",Car is not damaged,Right,Yes,White,R17,Хenon Headlights,Beige,Velour,No,"$6,900"
Opel,Astra,Wagon,2007,Diesel,1.7 L,Manual,Front Wheel Drive,"187,000 km",Car is not damaged,Left,Yes,Gray,R16,Halogen Headlights,Black,Velour,No,"$6,000"
Mazda,6,Sedan,2003,Gasoline,2.3 L,Automatic,Front Wheel Drive,"180,000 km",Car is not damaged,Right,Yes,White,R17,Хenon Headlights,Beige,Alcantara,No,"$6,900"
Hyundai,Santa Fe,SUV / Crossover,2001,Gasoline,2.7 L,Automatic,All Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,Green,R16,Хenon Headlights,Other,Other,No,"$6,500"
BMW,X2,SUV / Crossover,2020,Gasoline,2.0 L,Automatic,All Wheel Drive,"24,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$40,000"
Mercedes-Benz,S-Class,Sedan,2013,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"79,000 km",Car is not damaged,Left,Yes,Black,R20,Halogen Headlights,Black,Leather,Panoramic Sunroof,"$44,500"
Nissan,X-Trail,SUV / Crossover,2006,Gasoline,2.0 L,Automatic,All Wheel Drive,"185,000 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Gray,Other,No,"$8,200"
Jeep,Grand Cherokee,SUV / Crossover,2019,Gasoline,3.6 L,Automatic,All Wheel Drive,"55,000 km",Car is not damaged,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,NaN
Mazda,CX-5,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,All Wheel Drive,"56,000 miles",Car is damaged,Left,Yes,Silver,R17,LED Headlights,Black,Other,No,"$19,000"
Ford,Fusion (North America),Sedan,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"102,000 miles",Car is damaged,Left,Yes,Gray,R17,LED Headlights,Black,Other,No,"$7,850"
Mercedes-Benz,E-Class,Sedan,1999,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"333,000 km",Car is not damaged,Left,Yes,Blue,R16,Хenon Headlights,Black,Textile,No,"$5,300"
Kia,Forte,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"92,000 miles",Car is not damaged,Left,Yes,Silver,R15,Halogen Headlights,Black,Textile,No,"$12,000"
BMW,X5,SUV / Crossover,2008,Gasoline,3.0 L,Automatic,All Wheel Drive,"184,000 km",Car is not damaged,Left,Yes,White,R20,Хenon Headlights,Other,Other,Panoramic Sunroof,"$14,600"
Mercedes-Benz,E-Class,Sedan,2000,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"22,000 km",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Beige,Leather,Regular Sunroof,"$6,500"
Mercedes-Benz,E-Class,Sedan,2005,Gasoline,1.8 L,Automatic,Rear Wheel Drive,"195,000 km",Car is not damaged,Left,Yes,Silver,R17,LED Headlights,Black,Leather,Panoramic Sunroof,"$9,500"
Hyundai,Santa Fe,SUV / Crossover,2010,Gasoline,3.5 L,Automatic,All Wheel Drive,"210,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Leather,Regular Sunroof,"$12,500"
Opel,Zafira,Minivan,2004,Gasoline,1.6 L,Manual,Front Wheel Drive,"249,000 km",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Black,Textile,Regular Sunroof,"$6,500"
Toyota,Camry,Sedan,2012,Gasoline,2.5 L,Automatic,Front Wheel Drive,"140,000 miles",Car is not damaged,Left,No,Gray,R17,Хenon Headlights,Beige,Textile,No,"$8,950"
Mercedes-Benz,GL-Class,SUV / Crossover,2006,Gasoline,4.0 L,Automatic,All Wheel Drive,"240,000 km",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Gray,Other,No,"$43,000"
Honda,Fit,Hatchback,2008,Gasoline,1.3 L,Automatic,Front Wheel Drive,"155,000 km",Car is not damaged,Right,Yes,Silver,R15,LED Headlights,Black,Other,No,"$6,700"
